region_name,municipality_name,installation_name,installation_code,process_name,process_code
Abitibi-Témiscamingue,Belleterre,Belleterre - Approvisionnement,X2114564,Chloration,CHL
Abitibi-Témiscamingue,Latulipe-et-Gaboury,Latulipe-et-Gaboury - Approv.,X2114246,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Abitibi-Témiscamingue,Laverlochère-Angliers,Angliers - Approvisionnement,X2114253,Chloration,CHL
Abitibi-Témiscamingue,Macamic,Macamic - Approvisionnement,X2114265,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Abitibi-Témiscamingue,Rouyn-Noranda,Station de purification Rouyn-noranda,X2114341,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Abitibi-Témiscamingue,Témiscaming,Témiscaming - Approvisionnement,X2114319,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Dégelis,Station de purification Dégelis,X2114834,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Bas-Saint-Laurent,Grosses-Roches,Station de purification Grosses-Roches,X0009832,"Chloration
Ultraviolet","CHL
UB"
Bas-Saint-Laurent,La Rédemption,Station de purification La Rédemption,X0009775,Chloration,CHL
Bas-Saint-Laurent,Lac-au-Saumon,Station de purification Lac-au-Saumon,X0008358,Chloration,CHL
Bas-Saint-Laurent,Lac-au-Saumon,Système d'approvisionnement sans traitement Parc maison mobile Parent - Réseau 1,X2114824,,
Bas-Saint-Laurent,Lac-au-Saumon,Système d'approvisionnement sans traitement Parc maison mobile Parent - Réseau 2,X2114826,,
Bas-Saint-Laurent,Les Méchins,Station de purification Les Méchins - Nouvelle usine,X2124553,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Bas-Saint-Laurent,Mont-Carmel,Station de purification Mont-Carmel,X0008713,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Mont-Joli,Station de purification Mont-Joli,X0009742,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Bas-Saint-Laurent,Notre-Dame-des-Neiges,Station de purification Trois-Pistoles (nouvelle usine),X2067217,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Bas-Saint-Laurent,Rivière-du-Loup,Station de purification Rivière-du-Loup,X0008221,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Saint-Donat,Station de purification Saint-Donat,X0009746,Chloration,CHL
Bas-Saint-Laurent,Saint-Elzéar-de-Témiscouata,Système d'approvisionnement sans traitement Village Saint-Elzéar,X2052656,,
Bas-Saint-Laurent,Saint-Fabien,Station de purification Saint-Fabien,X0009793,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Saint-Gabriel-de-Rimouski,Station de purification Saint-Gabriel-de-Rimouski,X0010622,Chloration,CHL
Bas-Saint-Laurent,Saint-Pascal,Station de purification Saint-Pascal,X0008679,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Saint-Ulric,Station de purification Saint-Ulric,X0009858,Chloration,CHL
Bas-Saint-Laurent,Sainte-Anne-de-la-Pocatière,Station de purification La Pocatière,X0008614,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Sainte-Félicité,Station de purification Sainte-Félicité,X0009842,Chloration,CHL
Bas-Saint-Laurent,Sayabec,Station de purification Sayabec,X0010453,Chloration,CHL
Bas-Saint-Laurent,Témiscouata-sur-le-Lac,Station de purification Cabano (nouvelle usine),X2124413,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Témiscouata-sur-le-Lac,Station de purification Notre-Dame-du-Lac,X0008840,Chloration,CHL
Capitale-Nationale,Beaupré,Installation de production d'eau potable Beaupré,X0008975,"Chloration
Filtration","CHL
FIL"
Capitale-Nationale,Boischatel,Installation de production d'eau potable Boischatel,X0009111,"Chloration
Filtration","CHL
FIL"
Capitale-Nationale,Château-Richer,Installation de production d'eau potable Chateau-Richer,X0008998,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Capitale-Nationale,Donnacona,Installation de production d'eau potable Donnacona,X0008212,"Chloration
Filtration","CHL
FIL"
Capitale-Nationale,Québec,Installation de production d'eau potable - UTE Beauport,X0010056,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Capitale-Nationale,Québec,Installation de production d'eau potable - UTE Charlesbourg,X0010062,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Capitale-Nationale,Québec,Installation de production d'eau potable - UTE Québec,X0008181,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Capitale-Nationale,Québec,Installation de production d'eau potable - UTE Sainte-Foy,X0008186,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Capitale-Nationale,Saint-Casimir,Installation de production d'eau potable Saint-Casimir,X0010389,"Chloration
Filtration","CHL
FIL"
Capitale-Nationale,Saint-Casimir,"Installation de production d'eau potable Saint-Casimir, Pied de la Montagne",X2111605,"Chloration
Filtration","CHL
FIL"
Capitale-Nationale,Saint-Irénée,Installation de production d'eau potable Saint-Irénée,X0008788,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Capitale-Nationale,Saint-Thuribe,Installation de production d'eau potable Saint-Casimir,X0010389,"Chloration
Filtration","CHL
FIL"
Capitale-Nationale,Sainte-Catherine-de-la-Jacques-Cartier,Installation de production d'eau potable Duchesnay,X0010966,"Chloration
Filtration","CHL
FIL"
Centre-du-Québec,Bécancour,Station de purification Bécancour (sta.pur.),X0008299,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Centre-du-Québec,Daveluyville,Station de purification Daveluyville. (sta. pur.),X0008651,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Centre-du-Québec,Drummondville,Installation de production Drummondville (sta. pur.),X0010740,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Centre-du-Québec,Nicolet,Station de purification Nicolet. (sta.pur.),X0008234,"Chloration
Filtration","CHL
FIL"
Centre-du-Québec,Pierreville,Station de purification R.I.A.E.P.B.S.F. (sta.pur.),X0010516,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Centre-du-Québec,Plessisville,Installation de purification Plessisville (sta. pur.),X0008079,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Centre-du-Québec,Saint-Pierre-les-Becquets,Station de purification Saint-Pierre-les-Becque. (post.chl.),X0010543,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Centre-du-Québec,Victoriaville,Station de purification Victoriaville (sta.pur.),X0010730,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Chaudière-Appalaches,Beauceville,Installation de production Beauceville,X0008259,"Chloration
Filtration","CHL
FIL"
Chaudière-Appalaches,L'Islet,Installation de production L'Islet,X0009054,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Chaudière-Appalaches,Lac-Etchemin,Installation de production Lac-Etchemin,X0008245,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Chaudière-Appalaches,Lévis,Installation de production Charny,X0008980,"Chloration
Filtration
Ozonation
Ultraviolet","CHL
FIL
OZ
UB"
Chaudière-Appalaches,Lévis,Installation de production Lévis,X0010696,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Chaudière-Appalaches,Lévis,Installation de production St-Romuald,X0010478,"Chloration
Filtration
Ozonation
Ultraviolet","CHL
FIL
OZ
UB"
